Parede;Cód. Prateleira;Nível (1=base 6=topo);Descrição do Nível;Reagente / Item;Controle PF/EB/COFRE;Qtd. Frascos (preencher);Observações de Segurança
Frente (Tóxicos/Oxidantes);F1;1;P1 — Base (COFRE);Óxido de mercúrio II;COFRE;;🔐 COFRE COM CHAVE.
Frente (Tóxicos/Oxidantes);F1;1;P1 — Base (COFRE);Iodeto de mercúrio II;COFRE;;🔐 COFRE COM CHAVE.
Frente (Tóxicos/Oxidantes);F1;1;P1 — Base (COFRE);Cianeto de potássio;COFRE;;🔐 COFRE. JAMAIS perto de ácidos.
Frente (Tóxicos/Oxidantes);F1;1;P1 — Base (COFRE);Meta-arsenito de sódio;COFRE;;🔐 COFRE COM CHAVE.
Frente (Tóxicos/Oxidantes);F1;1;P1 — Base (COFRE);Azida sódica;COFRE;;🔐 COFRE. ⚠️ SEGREGAÇÃO: recipiente isolado de sais de Hg — NaN₃ + Hg²⁺ → azida de mercúrio (explosivo primário).
Frente (Tóxicos/Oxidantes);F1;1;P1 — Base (COFRE);Nitroprussiato de sódio;COFRE;;🔐 COFRE COM CHAVE.
;;;;;;;
Frente (Tóxicos/Oxidantes);F2;2;P2;Nitrato de prata;;;🔒 Acesso restrito. Frasco âmbar (fotossensível).
Frente (Tóxicos/Oxidantes);F2;2;P2;Sulfato de prata;;;🔒 Acesso restrito. Frasco âmbar.
Frente (Tóxicos/Oxidantes);F2;2;P2;Nitrato de paládio;;;🔒 Acesso restrito. Frasco âmbar.
Frente (Tóxicos/Oxidantes);F2;2;P2;Cloreto de cobalto II;;;🔒 Acesso restrito. EPI.
Frente (Tóxicos/Oxidantes);F2;2;P2;Oxicloreto de zircônio;;;🔒 Acesso restrito. EPI.
Frente (Tóxicos/Oxidantes);F2;2;P2;Antimônio padrão (AAS);;;🔒 Acesso restrito. EPI.
Frente (Tóxicos/Oxidantes);F2;2;P2;Sulfato de cobre II;;;🔒 Transferido de R4 — Cu²⁺ catalisa decomposição da hidroxilamina.
Frente (Tóxicos/Oxidantes);F2;2;P2;Sulfato de níquel;;;🔒 IARC Gr.1 carcinogênico — EPI completo.
Frente (Tóxicos/Oxidantes);F2;2;P2;Amônio metavanadato;;;🔒 IARC Gr. 2B. EPI.
Frente (Tóxicos/Oxidantes);F2;2;P2;Fenol/Ácido fênico;;;🔒 Transferido de B5. Absorção dérmica rápida — luvas de nitrila dupla.
;;;;;;;
Frente (Tóxicos/Oxidantes);F3;3;P3;Permanganato de potássio;PF Lista VI;;💥 Oxidante ONU 5.1. SIPROQUIM 2. ⚠️ Extremidade oposta ao H₂O₂.
Frente (Tóxicos/Oxidantes);F3;3;P3;Dicromato de potássio;PF Lista VI;;💥 Oxidante. SIPROQUIM 2.
Frente (Tóxicos/Oxidantes);F3;3;P3;Cromato de potássio;PF Lista VI;;💥 Oxidante. SIPROQUIM 2.
Frente (Tóxicos/Oxidantes);F3;3;P3;Bicromato de potássio;PF Lista VI;;💥 Oxidante. SIPROQUIM 2.
Frente (Tóxicos/Oxidantes);F3;3;P3;Persulfato de amônio;;;💥 Oxidante. ⚠️ Separado do Ca(OCl)₂ — cloraminas.
Frente (Tóxicos/Oxidantes);F3;3;P3;Persulfato de potássio;;;💥 Oxidante.
Frente (Tóxicos/Oxidantes);F3;3;P3;Bromato de potássio;;;💥 Oxidante.
Frente (Tóxicos/Oxidantes);F3;3;P3;Iodato de potássio;;;💥 Oxidante.
Frente (Tóxicos/Oxidantes);F3;3;P3;Nitrito de sódio;;;💥 Oxidante ONU 5.1. Transferido de R3. Centro da prateleira.
Frente (Tóxicos/Oxidantes);F3;3;P3;Nitrato de cálcio;;;💥 Oxidante ONU 5.1. Transferido de R3.
Frente (Tóxicos/Oxidantes);F3;3;P3;Peróxido de hidrogênio;;;💥 Oxidante. ⚠️ Extremidade oposta ao KMnO₄ e cromatos. Separado do Ca(OCl)₂.
Frente (Tóxicos/Oxidantes);F3;3;P3;Hipoclorito de cálcio;;;💥 Oxidante. ⚠️ Recipiente secundário isolado — NUNCA perto de H₂O₂ ou Persulfato de amônio.
;;;;;;;
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. H₂SO₄ (várias);;;🗑️ AGUARDA DESCARTE. Rotular.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. HCl;;;🗑️ AGUARDA DESCARTE.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. NaOH;;;🗑️ AGUARDA DESCARTE.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. EDTA;;;🗑️ AGUARDA DESCARTE.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. AgNO₃;;;🗑️ AGUARDA DESCARTE. ⚠️ Extremidade oposta à Sol. Tiossulfato.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. tampão (várias);;;🗑️ AGUARDA DESCARTE.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. iodo/lugol;;;🗑️ AGUARDA DESCARTE.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. permanganato;;;🗑️ AGUARDA DESCARTE.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. tiossulfato;;;🗑️ AGUARDA DESCARTE. ⚠️ Extremidade oposta à Sol. AgNO₃.
Frente (Tóxicos/Oxidantes);F4;4;P4;Sol. indicadores;;;🗑️ AGUARDA DESCARTE.
;;;;;;;
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. estoque Zn 1000ppm;;;🗑️🪜 Descarte especial prioritário.
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. estoque Ni 1000ppm;;;🗑️🪜 Descarte especial prioritário (IARC).
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. estoque Mn 1000ppm;;;🗑️🪜 Descarte especial.
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. estoque Fe;;;🗑️🪜 Descarte especial.
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. estoque Cu;;;🗑️🪜 Descarte especial.
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. estoque cloro-mercúrio;;;🗑️🪜 URGENTE — descarte especial Hg. Não lançar na pia.
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. padrão NaCl;;;🗑️🪜 Descarte.
Frente (Tóxicos/Oxidantes);F5;5;P5 — Escada;Sol. padrão fosfato;;;🗑️🪜 Descarte.
;;;;;;;
Frente (Tóxicos/Oxidantes);F6;6;P6 — Topo;O-toluidina;;;🪜🔒 Tóxico. EPI.
Frente (Tóxicos/Oxidantes);F6;6;P6 — Topo;Dietilditiocarbamato de sódio;;;🪜🔒 Tóxico.
Frente (Tóxicos/Oxidantes);F6;6;P6 — Topo;Ditizona;;;🪜🔒 H400+H410 — muito tóxica para org. aquáticos. Frasco fechado. Transferida de R5.
Frente (Tóxicos/Oxidantes);F6;6;P6 — Topo;Indigo Blue padrão;;;🪜🔒 Tóxico.
Frente (Tóxicos/Oxidantes);F6;6;P6 — Topo;Formiato de sódio;;;🪜 Baixo risco.
Frente (Tóxicos/Oxidantes);F6;6;P6 — Topo;Reagentes a identificar;;;🪜🔒 NÃO USAR até identificação. Etiquetar 'A IDENTIFICAR'.
